t,o,h,l,c,v
2026-04-15T16:39:00Z,265.22,265.35,265.1,265.265,100671.0
2026-04-15T16:40:00Z,265.28,265.39,265.03,265.08,122816.0
2026-04-15T16:41:00Z,265.09,265.14,264.96,265.03,91807.0
2026-04-15T16:42:00Z,265.05,265.07,264.87,264.97,99440.0
2026-04-15T16:43:00Z,264.98,264.98,264.8801,264.96,74350.0
2026-04-15T16:44:00Z,264.98,265.04,264.73,264.785,91008.0
2026-04-15T16:45:00Z,264.76,264.91,264.76,264.79,77927.0
2026-04-15T16:46:00Z,264.77,264.85,264.73,264.785,69553.0
2026-04-15T16:47:00Z,264.79,264.79,264.59,264.62,94185.0
2026-04-15T16:48:00Z,264.61,264.7,264.58,264.61,77361.0
2026-04-15T16:49:00Z,264.605,264.88,264.53,264.83,173784.0
2026-04-15T16:50:00Z,264.83,264.88,264.755,264.84,57050.0
2026-04-15T16:51:00Z,264.84,264.89,264.44,264.5,124561.0
2026-04-15T16:52:00Z,264.49,264.49,264.34,264.44,92385.0
2026-04-15T16:53:00Z,264.44,264.505,264.35,264.47,69705.0
2026-04-15T16:54:00Z,264.47,264.62,264.44,264.58,58283.0
2026-04-15T16:55:00Z,264.59,264.82,264.57,264.79,93452.0
2026-04-15T16:56:00Z,264.83,264.9,264.6,264.88,116034.0
2026-04-15T16:57:00Z,264.88,265.11,264.8,265.06,74841.0
2026-04-15T16:58:00Z,265.07,265.34,265.07,265.3,100199.0
2026-04-15T16:59:00Z,265.28,265.46,265.21,265.455,66965.0
2026-04-15T17:00:00Z,265.46,265.5,265.31,265.39,85231.0
2026-04-15T17:01:00Z,265.39,265.5,265.31,265.34,85770.0
2026-04-15T17:02:00Z,265.345,265.37,265.26,265.3101,69657.0
2026-04-15T17:03:00Z,265.32,265.46,265.3002,265.45,58712.0
2026-04-15T17:04:00Z,265.45,265.58,265.45,265.58,126321.0
2026-04-15T17:05:00Z,265.59,265.69,265.575,265.67,100578.0
2026-04-15T17:06:00Z,265.68,265.79,265.62,265.69,99739.0
2026-04-15T17:07:00Z,265.69,265.69,265.5,265.53,62588.0
2026-04-15T17:08:00Z,265.53,265.59,265.36,265.54,44972.0
2026-04-15T17:09:00Z,265.5499,265.561,265.42,265.515,50857.0
2026-04-15T17:10:00Z,265.51,265.64,265.51,265.605,48558.0
2026-04-15T17:11:00Z,265.6179,265.63,265.55,265.5993,29520.0
2026-04-15T17:12:00Z,265.6,265.65,265.51,265.525,47522.0
2026-04-15T17:13:00Z,265.52,265.54,265.4807,265.54,35193.0
2026-04-15T17:14:00Z,265.535,265.64,265.535,265.585,52247.0
2026-04-15T17:15:00Z,265.58,265.68,265.53,265.6,44362.0
2026-04-15T17:16:00Z,265.62,265.705,265.61,265.69,35348.0
2026-04-15T17:17:00Z,265.69,265.7,265.45,265.5002,75684.0
2026-04-15T17:18:00Z,265.515,265.53,265.47,265.49,26825.0
2026-04-15T17:19:00Z,265.49,265.5,265.16,265.165,119378.0
